"Site Id","Site Code","Campaign Code","PLM Discount id","PLM Start Date","PLM End Date","ICOMS Start Date","ICOMS End Date","Offer series","Comments"
"342","SAB","PERIGRNIN","42032","20-Jun-19","17-Aug-20","20-Jun-19","27-Jul-20","Start Date by Market","End date mismatch","false"
"477","NVA","BN91SH424N","41972","02-Apr-19","06-Jan-20","02-Apr-19","26-Mar-20","Start Date by Market","End date mismatch","true"
"580","KAN","PERIGRN10","10055","20-Jun-19","18-May-20","20-Jun-19","20-Apr-20","Perigrn","End date mismatch","false"
"580","KAN","PERIGRN125","10058","20-Jun-19","18-May-20","20-Jun-19","20-Apr-20","Perigrn","End date mismatch","false"
"580","KAN","PERIGRN15","10056","20-Jun-19","18-May-20","20-Jun-19","20-Apr-20","Perigrn","End date mismatch","false"
"580","KAN","PERIGRN20","10057","20-Jun-19","18-May-20","20-Jun-19","20-Apr-20","Perigrn","End date mismatch","false"
"580","KAN","PERIGRN25","40342","20-Jun-19","18-May-20","20-Jun-19","20-Apr-20","October 22, 2018 - Perigrine Offers","End date mismatch","false"
"580","KAN","PERIGRN32","40343","20-Jun-19","18-May-20","20-Jun-19","20-Apr-20","October 22, 2018 - Perigrine Offers","End date mismatch","false"
"580","KAN","PERIGRN5","10054","20-Jun-19","18-May-20","20-Jun-19","20-Apr-20","Perigrn","End date mismatch","false"
"580","KAN","PERIGRN750","10059","20-Jun-19","18-May-20","20-Jun-19","20-Apr-20","Perigrn","End date mismatch","false"
"580","KAN","PERIGRNBX","41765","20-Jun-19","18-May-20","20-Jun-19","20-Apr-20","Start Date by Market","End date mismatch","false"
"580","KAN","PERIGRNIN","42018","20-Jun-19","18-May-20","20-Jun-19","20-Apr-20","Start Date by Market","End date mismatch","false"
"609","CLE","PERIGRN10","10055","20-Jun-19","18-May-20","20-Jun-19","20-Apr-20","Perigrn","End date mismatch","false"
"609","CLE","PERIGRN125","10058","20-Jun-19","18-May-20","20-Jun-19","20-Apr-20","Perigrn","End date mismatch","false"
"609","CLE","PERIGRN15","10056","20-Jun-19","18-May-20","20-Jun-19","20-Apr-20","Perigrn","End date mismatch","false"
"609","CLE","PERIGRN20","10057","20-Jun-19","18-May-20","20-Jun-19","20-Apr-20","Perigrn","End date mismatch","false"
"609","CLE","PERIGRN25","40342","20-Jun-19","18-May-20","20-Jun-19","20-Apr-20","October 22, 2018 - Perigrine Offers","End date mismatch","false"
"609","CLE","PERIGRN32","40343","20-Jun-19","18-May-20","20-Jun-19","20-Apr-20","October 22, 2018 - Perigrine Offers","End date mismatch","false"
"609","CLE","PERIGRN5","10054","20-Jun-19","18-May-20","20-Jun-19","20-Apr-20","Perigrn","End date mismatch","false"
"609","CLE","PERIGRN750","10059","20-Jun-19","18-May-20","20-Jun-19","20-Apr-20","Perigrn","End date mismatch","false"
"609","CLE","PERIGRNBX","41765","20-Jun-19","18-May-20","20-Jun-19","20-Apr-20","Start Date by Market","End date mismatch","false"
"609","CLE","PERIGRNIN","42018","20-Jun-19","18-May-20","20-Jun-19","20-Apr-20","Start Date by Market","End date mismatch","false"
