"DISCOUNT_ID","DISCOUNT_CODE","DESCRIPTION","TAG","DISCOUNT_START_DATE","DISCOUNT_END_DATE","needsOffers?","CNT"
"10003","EMP81BH312","$89.99 CONTV, STB, CHSIPRF100 + CHL Auto for 12 mo.","","21-May-18","29-Jun-20","NO","0","false"
"10005","EMP81BH412","$109.99 CONTV/STB/CHSIPRF100/CDTPMR/CHLAUTO for 12 mo.","","21-May-18","29-Jun-20","NO","0","false"
"9990","CS2PSFPI","Free Phone Install for CS2PS disconnects","","28-May-18","31-Mar-20","NO","0","false"
"10253","EMP82PRGRN","Employee Offer - Free Install for Rovi to C2 Swap","","10-Jul-18","30-Sep-20","NO","0","false"
"10058","PERIGRN125","Perigrn - $12.50 Discount for 12 mo.","","10-Jul-18","14-Sep-20","NO","0","false"
"40342","PERIGRN25","Perigrn - $25 Discount for 12 mo.","","10-Jul-18","14-Sep-20","NO","0","false"
"40343","PERIGRN32","Perigrn - $32 Discount for 12 mo.","","10-Jul-18","14-Sep-20","NO","0","false"
"10054","PERIGRN5","Perigrn - $5 Discount for 12 mo.","","10-Jul-18","14-Sep-20","NO","0","false"
"10059","PERIGRN750","Perigrn - $7.50 Discount for 12 mo.","","10-Jul-18","14-Sep-20","NO","0","false"
"10252","PSCNHEQK18","PSC New Hires Free Install","","11-Jul-18","29-Jun-20","NO","0","false"
"10279","CHL182ST","$150 CHL Smart Thermostat","","31-Jul-18","29-Jun-20","NO","0","false"
"10276","PGRNMDUI","Free Pro Or self Install for Video/Data for equipment swaps","","01-Aug-18","31-Dec-20","NO","0","false"
"40325","CHC183FRIN","Free Homelife Care Installation","","04-Oct-18","29-Jun-20","NO","0","false"
"40340","CHL83SARP1","Choice of Free HD Camera or Free Door Lock w/SA Renewal","","15-Oct-18","29-Jun-20","NO","0","false"
"40339","CHL83SARP2","Free 3 Pak Bulbs + Smart Plug  w/SA Renewal","","15-Oct-18","29-Jun-20","NO","0","false"
"40345","MERC18FMRC","Mercury Builders Agreement MRC - (Fix)				","","16-Oct-18","31-Dec-20","NO","0","false"
"40311","RXCDPANSF","Free Self-Install for Pano WiFi modem swap","","01-Nov-18","30-Jun-20","NO","0","false"
"40287","RXFCX0001","Free Pro Installation for Contour 2 swap","","06-Nov-18","30-Jun-20","NO","0","false"
"40476","WE184HL24","$5 Off CHL Security & Automation for 24 mo.","","04-Dec-18","29-Jun-20","NO","0","false"
"40639","CHC184C136","$34.99 CHL Care Service for 36 mo.","","20-Dec-18","29-Jun-20","NO","0","false"
"40638","CHC184E50","$50 CHL Care Equipment Base Kit","","20-Dec-18","29-Jun-20","NO","0","false"
"40686","BU191FPI","Free Pro Install for Bulk Services at Panorama Towers","","08-Jan-19","31-Dec-20","NO","0","false"
